Meter_Id,Date,Region_Code,Dwelling_Type,Num_Occupants,House_Area (sqft),Appliance_Score,Connected_Load(kw),Temperature_C,Humidity (%),Expected_Energy(kwh),Actual_Energy(kwh),Usage_Deviation(%),Cluster_Avg_Energy(kwh),Abnormal_Usage
IN-KL-ELC-28177529,10-01-2023,IN_KL_TVM,Independent House,4,2653,11,3.3,34.46,70.94,14.86 kWh,13.47 kWh,-9.35,16.89,0
IN-KL-ELC-77385755,06-01-2023,IN_KL_TVM,Apartment,4,484,19,6.29,22.93,72.01,16.96 kWh,15.99 kWh,-5.72,17.26,0
IN-KL-ELC-68897751,22-01-2023,IN_KL_TVM,Apartment,5,2084,17,4.3,31.06,70.21,18.16 kWh,18.01 kWh,-0.83,17.26,0
IN-KL-ELC-28357262,02-01-2023,IN_KL_ERN,Independent House,4,821,17,6.91,30.69,60.57,18.93 kWh,20.42 kWh,7.87,16.43,0
IN-KL-ELC-94750240,23-01-2023,IN_KL_TVM,Villa,6,2564,15,3.42,34.47,67.9,18.8 kWh,29.031405757273625 kWh,54.42,16.02,1
IN-KL-ELC-22212203,30-01-2023,IN_KL_ERN,Villa,5,2190,11,7.23,28.97,72.3,17.69 kWh,19.39 kWh,9.61,16.28,0
IN-KL-ELC-46908360,07-01-2023,IN_KL_TVM,Independent House,2,886,19,5.26,25.71,81.89,14.97 kWh,25.035792729875944 kWh,67.24,16.89,1
IN-KL-ELC-70410608,05-01-2023,IN_KL_TVM,Independent House,2,2108,18,4.47,32.51,50.52,15.62 kWh,19.832172844803715 kWh,26.97,16.89,1
IN-KL-ELC-17499006,30-01-2023,IN_KL_TVM,Apartment,3,2424,16,5.47,35.02,67.1,17.42 kWh,null,-17.45,17.26,1
IN-KL-ELC-96832271,22-01-2023,IN_KL_ALP,Independent House,2,2656,19,2.51,32.12,49.41,14.37 kWh,15.81 kWh,10.02,17.83,0
IN-KL-ELC-68910616,20-01-2023,IN_KL_ERN,Independent House,6,2161,14,3.39,31.38,76.3,17.6 kWh,23.995665978177527 kWh,36.34,16.43,1
IN-KL-ELC-79964262,14-01-2023,IN_KL_ERN,Independent House,4,1633,19,7.82,25.15,82.89,18.65 kWh,20.5 kWh,9.92,16.43,0
IN-KL-ELC-57963776,05-01-2023,IN_KL_ERN,Apartment,5,1156,8,4.59,23.46,79.81,13.48 kWh,13.68 kWh,1.48,16.61,0
IN-KL-ELC-25737030,10-01-2023,IN_KL_ERN,Independent House,4,2725,11,3.75,35.31,52.59,15.4 kWh,14.46 kWh,-6.1,16.43,0
IN-KL-ELC-58847825,05-01-2023,IN_KL_ERN,Apartment,1,1280,11,6.44,29.49,72.23,12.88 kWh,13.0 kWh,0.93,16.61,0
IN-KL-ELC-53303907,12-01-2023,IN_KL_TVM,Apartment,2,1690,20,3.99,29.07,45.08,15.18 kWh,16.07 kWh,5.86,17.26,0
IN-KL-ELC-38754500,28-01-2023,IN_KL_ALP,Apartment,2,2100,11,7.15,30.43,67.92,14.71 kWh,19.578007315296848 kWh,33.09,16.47,1
IN-KL-ELC-66313716,02-01-2023,IN_KL_TVM,Independent House,5,2729,16,7.47,29.88,76.27,19.87 kWh,19.99 kWh,0.6,16.89,0
IN-KL-ELC-35880395,13-01-2023,IN_KL_ALP,Apartment,6,2566,16,3.85,29.76,48.94,18.22 kWh,18.17 kWh,-0.27,16.47,0
IN-KL-ELC-74375533,22-01-2023,IN_KL_ERN,Apartment,3,2410,15,2.51,25.86,46.27,12.79 kWh,12.41 kWh,-2.97,16.61,0
IN-KL-ELC-91812452,16-01-2023,IN_KL_ALP,Apartment,1,1952,10,4.27,31.88,65.06,11.31 kWh,20.558148864127368 kWh,81.77,16.47,1
IN-KL-ELC-89330274,15-01-2023,IN_KL_ERN,Independent House,2,2501,18,6.94,31.95,76.58,17.4 kWh,18.19 kWh,4.54,16.43,0
IN-KL-ELC-90949802,03-01-2023,IN_KL_ERN,Apartment,5,849,18,3.87,32.78,70.11,18.65 kWh,25.24082043151313 kWh,35.34,16.61,1
IN-KL-ELC-85713070,09-01-2023,IN_KL_TVM,Independent House,2,1481,14,4.1,30.01,46.58,13.38 kWh,15.58 kWh,16.44,16.89,0
IN-KL-ELC-72267329,21-01-2023,IN_KL_ERN,Villa,2,1438,13,4.71,35.02,48.07,null,23.69951467290618 kWh,63.44,16.28,1
IN-KL-ELC-21680006,01-01-2023,IN_KL_ERN,Independent House,6,1352,17,2.52,35.42,45.37,19.07 kWh,26.76216183525505 kWh,40.34,16.43,1
IN-KL-ELC-66129276,09-01-2023,IN_KL_ALP,Apartment,3,2673,21,6.26,37.59,51.06,20.66 kWh,32.76215632763344 kWh,58.58,16.47,1
IN-KL-ELC-34642880,16-01-2023,IN_KL_ALP,Independent House,4,701,18,6.73,29.9,56.86,18.92 kWh,23.47807667891218 kWh,24.09,17.83,1
IN-KL-ELC-54459619,22-01-2023,IN_KL_ERN,Villa,1,2316,14,5.18,31.77,57.12,13.43 kWh,null,15.86,16.28,1
IN-KL-ELC-31690538,30-01-2023,IN_KL_TVM,Apartment,4,1785,20,7.86,29.02,47.28,20.19 kWh,20.33 kWh,0.69,17.26,0
IN-KL-ELC-82157282,11-01-2023,IN_KL_TVM,Independent House,5,986,17,5.66,30.95,77.27,19.17 kWh,17.39 kWh,-9.29,16.89,0
IN-KL-ELC-58140776,21-01-2023,IN_KL_ERN,Villa,6,1760,21,3.97,25.56,75.47,18.79 kWh,17.04 kWh,-9.31,16.28,0
IN-KL-ELC-22212203,19-01-2023,IN_KL_ERN,Villa,5,2190,11,7.23,31.79,79.35,18.45 kWh,17.68 kWh,-4.17,16.28,0
IN-KL-ELC-34519998,25-01-2023,IN_KL_ERN,Independent House,3,2009,9,7.2,29.39,50.7,14.91 kWh,16.39 kWh,9.93,16.43,0
IN-KL-ELC-64818061,05-01-2023,IN_KL_ERN,Independent House,4,2382,14,6.73,21.91,65.02,15.42 kWh,15.59 kWh,1.1,16.43,0
IN-KL-ELC-72602002,27-01-2023,IN_KL_ALP,Villa,3,2543,7,3.68,30.96,65.53,11.88 kWh,11.48 kWh,-3.37,16.26,0
IN-KL-ELC-36527734,13-01-2023,IN_KL_ALP,Apartment,1,769,16,3.76,37.41,72.59,14.13 kWh,13.36 kWh,-5.45,16.47,0
IN-KL-ELC-58776490,21-01-2023,IN_KL_ALP,Apartment,1,679,14,7.14,26.24,64.96,13.73 kWh,null,-0.87,16.47,1
IN-KL-ELC-24122558,24-01-2023,IN_KL_TVM,Apartment,5,2676,11,3.1,35,63.26,15.99 kWh,17.27 kWh,8.01,17.26,0
IN-KL-ELC-88899266,03-01-2023,IN_KL_ERN,Independent House,2,915,20,3.81,26.69,53.2,14.5 kWh,24.44572370050398 kWh,68.59,16.43,1
IN-KL-ELC-61443706,10-01-2023,IN_KL_TVM,Independent House,5,2500,9,4.71,24.04,55.86,14.01 kWh,14.46 kWh,3.21,16.89,0
IN-KL-ELC-25737030,08-01-2023,IN_KL_ERN,Independent House,4,2725,11,3.75,30.38,59.84,14.34 kWh,17.768451109068437 kWh,23.91,16.43,1
IN-KL-ELC-23654327,07-01-2023,IN_KL_ALP,Apartment,5,882,18,5.95,31.3,57.61,19.84 kWh,19.31 kWh,-2.67,16.47,0
IN-KL-ELC-24549986,15-01-2023,IN_KL_ERN,Independent House,3,1784,16,6,28.86,60.86,16.32 kWh,16.06 kWh,-1.59,16.43,0
IN-KL-ELC-86829181,23-01-2023,IN_KL_TVM,Apartment,3,977,15,3.88,26.78,55.72,13.95 kWh,12.29 kWh,-11.9,17.26,0
IN-KL-ELC-13794510,13-01-2023,IN_KL_TVM,Independent House,5,2791,20,4.67,35.13,54.57,20.68 kWh,21.75 kWh,5.17,16.89,0
IN-KL-ELC-88593759,05-01-2023,IN_KL_ERN,Villa,2,2287,13,7.17,31.78,61.04,15.74 kWh,21.186233768441877 kWh,34.6,16.28,1
IN-KL-ELC-22581767,25-01-2023,IN_KL_ALP,Independent House,5,665,11,3.83,27.9,48.04,14.94 kWh,15.96 kWh,6.83,17.83,0
IN-KL-ELC-27773185,26-01-2023,IN_KL_ALP,Apartment,6,2752,17,5.14,22.56,49.38,17.42 kWh,29.780529135255076 kWh,70.96,16.47,1
IN-KL-ELC-61949394,08-01-2023,IN_KL_ERN,Independent House,2,1004,14,5.67,33.05,63.08,15.22 kWh,25.843730251609472 kWh,69.8,16.43,1
IN-KL-ELC-42410429,26-01-2023,IN_KL_ERN,Apartment,4,2455,7,2.57,28.32,53.8,11.68 kWh,15.421417842509275 kWh,32.03,16.61,1
IN-KL-ELC-86586193,14-01-2023,IN_KL_ERN,Independent House,1,1121,11,3.94,33.33,75.11,11.66 kWh,11.39 kWh,-2.32,16.43,1
IN-KL-ELC-61622615,15-01-2023,IN_KL_TVM,Apartment,2,1106,8,4.74,34.4,79.57,12.53 kWh,12.47 kWh,-0.48,17.26,0
IN-KL-ELC-79975445,30-01-2023,IN_KL_ERN,Villa,5,2520,15,6.56,30,71.64,18.87 kWh,19.01 kWh,0.74,16.28,0
IN-KL-ELC-70410608,19-01-2023,IN_KL_TVM,Independent House,2,2108,18,4.47,24.62,46.39,13.84 kWh,23.923284267126505 kWh,72.86,16.89,1
IN-KL-ELC-34642880,03-01-2023,IN_KL_ALP,Independent House,4,701,18,6.73,32.06,81.3,19.53 kWh,null,8.5,17.83,1
IN-KL-ELC-74114522,08-01-2023,IN_KL_ERN,Apartment,1,1440,9,5.98,33.23,69.28,12.51 kWh,11.4 kWh,-8.87,16.61,1
IN-KL-ELC-85446912,19-01-2023,IN_KL_TVM,Apartment,6,1812,6,6.76,29.76,80.87,16.91 kWh,16.42 kWh,-2.9,17.26,0
IN-KL-ELC-55788629,17-01-2023,IN_KL_ERN,Apartment,5,1166,15,7.36,36.87,47.64,21.48 kWh,20.34 kWh,-5.31,16.61,0
IN-KL-ELC-58140776,16-01-2023,IN_KL_ERN,Villa,6,1760,21,3.97,27.91,61.08,19.5 kWh,null,6.15,16.28,1
IN-KL-ELC-83633639,03-01-2023,IN_KL_TVM,Villa,4,1490,9,2.88,26.66,71.85,12.26 kWh,13.15 kWh,7.26,16.02,0
IN-KL-ELC-45560016,17-01-2023,IN_KL_ERN,Apartment,5,2466,15,2.99,30.02,51.97,16.2 kWh,15.82 kWh,-2.35,16.61,0
IN-KL-ELC-46350732,03-01-2023,IN_KL_ERN,Villa,4,2210,10,4.78,26.23,75.88,13.85 kWh,20.273446305541377 kWh,46.38,16.28,1
IN-KL-ELC-48444075,04-01-2023,IN_KL_TVM,Independent House,5,1207,13,6.7,28.91,64.85,17.98 kWh,30.80347492253455 kWh,71.32,16.89,1
IN-KL-ELC-11063908,06-01-2023,IN_KL_ALP,Apartment,4,1364,9,7.04,38.43,56.34,18.06 kWh,17.65 kWh,-2.27,16.47,0
IN-KL-ELC-38129282,22-01-2023,IN_KL_TVM,Apartment,1,2558,19,3.39,35.87,71.23,14.68 kWh,14.45 kWh,-1.57,17.26,0
IN-KL-ELC-97733707,12-01-2023,IN_KL_ALP,Apartment,3,2652,20,5.31,36.61,53.58,19.22 kWh,17.26 kWh,-10.2,16.47,0
IN-KL-ELC-61700190,05-01-2023,IN_KL_TVM,Independent House,1,1371,8,5.28,24.92,83.16,10.22 kWh,13.336021893840828 kWh,30.49,16.89,1
IN-KL-ELC-97994143,17-01-2023,IN_KL_ERN,Apartment,1,1263,9,3.24,33.33,52.8,10.37 kWh,10.74 kWh,3.57,16.61,1
IN-KL-ELC-67819755,11-01-2023,IN_KL_ERN,Villa,5,2073,12,4.88,31.28,53.29,16.88 kWh,22.956034040433437 kWh,36,16.28,1
IN-KL-ELC-98944256,20-01-2023,IN_KL_ERN,Apartment,2,658,8,2.64,27.6,51.7,9.81 kWh,10.87 kWh,10.81,16.61,1
IN-KL-ELC-29028684,13-01-2023,IN_KL_TVM,Apartment,4,2467,6,3,28.04,58.66,11.6 kWh,11.91 kWh,2.67,17.26,1
IN-KL-ELC-77596010,10-01-2023,IN_KL_ERN,Apartment,1,2316,6,2.69,26.24,72.49,7.94 kWh,12.074345366581854 kWh,52.07,16.61,1
IN-KL-ELC-22833202,05-01-2023,IN_KL_ALP,Independent House,1,743,9,6.97,33.46,64.26,13.34 kWh,17.92463070345442 kWh,34.37,17.83,1
IN-KL-ELC-66703411,22-01-2023,IN_KL_ALP,Apartment,3,888,18,2.6,24.81,77.57,13.6 kWh,16.54582573171478 kWh,21.66,16.47,1
IN-KL-ELC-68653537,21-01-2023,IN_KL_ALP,Villa,4,589,19,4.61,33.13,74.47,18.54 kWh,18.7 kWh,0.86,16.26,0
IN-KL-ELC-36393561,24-01-2023,IN_KL_ERN,Apartment,3,908,6,5.67,27.7,71.54,12.41 kWh,12.68 kWh,2.18,16.61,0
IN-KL-ELC-53303907,25-01-2023,IN_KL_TVM,Apartment,2,1690,20,3.99,40.03,57.13,17.71 kWh,17.39 kWh,-1.81,17.26,0
IN-KL-ELC-63901775,23-01-2023,IN_KL_TVM,Villa,6,583,9,3.65,30.76,53.65,15.87 kWh,16.57 kWh,4.41,16.02,0
IN-KL-ELC-38900154,03-01-2023,IN_KL_ALP,Independent House,5,1678,20,3.89,26.39,58.22,17.61 kWh,16.77 kWh,-4.77,17.83,0
IN-KL-ELC-61429232,07-01-2023,IN_KL_ERN,Apartment,2,2530,18,6.57,29.92,80.58,null,17.07 kWh,2.77,16.61,0
IN-KL-ELC-58847825,11-01-2023,IN_KL_ERN,Apartment,1,1280,11,6.44,32.14,65.15,13.4 kWh,13.32 kWh,-0.6,16.61,0
IN-KL-ELC-21573061,30-01-2023,IN_KL_ERN,Independent House,1,2578,6,5.15,32.71,73.71,10.68 kWh,10.19 kWh,-4.59,16.43,1
IN-KL-ELC-31013601,01-01-2023,IN_KL_TVM,Villa,6,1638,16,4.77,24.78,66.45,17.49 kWh,null,76.07,16.02,1
IN-KL-ELC-51118982,25-01-2023,IN_KL_ALP,Independent House,5,2365,21,5.35,32.44,50.9,20.8 kWh,33.95529825751682 kWh,63.25,17.83,1
IN-KL-ELC-29431338,21-01-2023,IN_KL_TVM,Apartment,4,729,9,6.18,25.1,79.6,14.26 kWh,15.16 kWh,6.31,17.26,0
IN-KL-ELC-70410608,24-01-2023,IN_KL_TVM,Independent House,2,2108,18,4.47,22.95,80.93,13.46 kWh,23.989884212176126 kWh,78.23,16.89,1
IN-KL-ELC-61622615,16-01-2023,IN_KL_TVM,Apartment,2,1106,8,4.74,33.28,74.22,null,12.49 kWh,1.3,17.26,0
IN-KL-ELC-27773185,23-01-2023,IN_KL_ALP,Apartment,6,2752,17,5.14,31.84,49.85,20.15 kWh,26.448230207578828 kWh,31.26,16.47,1
IN-KL-ELC-12098625,03-01-2023,IN_KL_ALP,Apartment,1,1383,15,4.01,28,62.97,12.18 kWh,null,4.02,16.47,1
IN-KL-ELC-83374719,08-01-2023,IN_KL_TVM,Apartment,4,1660,21,2.97,28.82,56.99,16.87 kWh,26.73918999299493 kWh,58.5,17.26,1
IN-KL-ELC-55638606,21-01-2023,IN_KL_ERN,Villa,6,463,9,3.28,29.69,73.74,15.34 kWh,28.26272206690531 kWh,84.24,16.28,1
IN-KL-ELC-73453717,14-01-2023,IN_KL_ALP,Villa,6,694,19,6.97,35.54,61.63,23.48 kWh,22.45 kWh,-4.39,16.26,1
IN-KL-ELC-88053158,11-01-2023,IN_KL_ALP,Apartment,5,1052,7,5.22,32.67,66.27,15.67 kWh,15.0 kWh,-4.28,16.47,0
IN-KL-ELC-31690538,08-01-2023,IN_KL_TVM,Apartment,4,1785,20,7.86,33.15,51.81,21.46 kWh,31.933016738844984 kWh,48.8,17.26,1
IN-KL-ELC-22704224,16-01-2023,IN_KL_TVM,Apartment,3,476,16,3.31,32.37,81.25,15.1 kWh,16.55 kWh,9.6,17.26,0
IN-KL-ELC-93680367,10-01-2023,IN_KL_TVM,Villa,6,962,6,5.24,27.55,65.48,15.25 kWh,15.7 kWh,2.95,16.02,0
IN-KL-ELC-42959637,01-01-2023,IN_KL_TVM,Independent House,4,2052,8,7.5,26.59,82.01,null,22.292605495970065 kWh,46.57,16.89,1
IN-KL-ELC-93959968,14-01-2023,IN_KL_TVM,Independent House,6,2044,21,3.7,24.99,56.69,18.43 kWh,24.665072628053597 kWh,33.83,16.89,1
IN-KL-ELC-26636457,30-01-2023,IN_KL_ALP,Independent House,6,1031,21,3.02,32.34,71.1,20.1 kWh,20.0 kWh,-0.5,17.83,0
IN-KL-ELC-23654327,14-01-2023,IN_KL_ALP,Apartment,5,882,18,5.95,34.36,65.71,20.74 kWh,21.14 kWh,1.93,16.47,0
IN-KL-ELC-99631077,20-01-2023,IN_KL_ALP,Apartment,4,1597,14,7.89,28.61,53.99,18.03 kWh,31.361133398828226 kWh,73.94,16.47,1
IN-KL-ELC-48444075,30-01-2023,IN_KL_TVM,Independent House,5,1207,13,6.7,35.62,46.83,19.81 kWh,20.42 kWh,3.08,16.89,0
IN-KL-ELC-59350609,27-01-2023,IN_KL_ERN,Apartment,2,2188,20,4.97,29.36,48.28,15.97 kWh,16.36 kWh,2.44,16.61,0
IN-KL-ELC-31345387,19-01-2023,IN_KL_ALP,Independent House,3,1480,6,6.11,26.43,58.44,12.48 kWh,15.11356667054014 kWh,21.1,17.83,1
IN-KL-ELC-77358119,24-01-2023,IN_KL_TVM,Villa,2,577,7,6.6,26.48,70.15,12.12 kWh,13.06 kWh,7.76,16.02,0
IN-KL-ELC-34712069,21-01-2023,IN_KL_ALP,Apartment,4,2523,21,2.53,26.6,67.34,15.99 kWh,23.884147908205076 kWh,49.37,16.47,1
IN-KL-ELC-12266547,21-01-2023,IN_KL_ERN,Apartment,6,840,13,6.13,26.93,78.52,18.07 kWh,23.458956146331886 kWh,29.82,16.61,1
IN-KL-ELC-39037024,25-01-2023,IN_KL_TVM,Villa,2,2065,18,3.32,30.53,64.18,14.3 kWh,14.95 kWh,4.55,16.02,0
IN-KL-ELC-87073868,16-01-2023,IN_KL_TVM,Apartment,6,2717,6,7.52,26.79,58.08,16.69 kWh,14.57 kWh,-12.7,17.26,0
IN-KL-ELC-31690538,24-01-2023,IN_KL_TVM,Apartment,4,1785,20,7.86,31.43,80.2,20.93 kWh,28.42505903685713 kWh,35.81,17.26,1
IN-KL-ELC-16244556,23-01-2023,IN_KL_TVM,Independent House,6,2420,18,5,35.93,80.33,21.61 kWh,22.14 kWh,2.45,16.89,1
IN-KL-ELC-35467398,26-01-2023,IN_KL_ERN,Apartment,4,2759,11,6.07,34.82,53.42,17.16 kWh,16.55 kWh,-3.55,16.61,0
IN-KL-ELC-28743962,10-01-2023,IN_KL_ERN,Independent House,6,1543,15,5.27,30.99,83,19.29 kWh,18.88 kWh,-2.13,16.43,0
IN-KL-ELC-44179469,22-01-2023,IN_KL_ERN,Apartment,1,716,21,7.5,27.3,52.85,16.57 kWh,null,1.09,16.61,1
IN-KL-ELC-73898526,06-01-2023,IN_KL_TVM,Independent House,5,1725,11,7.14,35.47,68.87,19.37 kWh,30.896927714195176 kWh,59.51,16.89,1
IN-KL-ELC-25533692,20-01-2023,IN_KL_ALP,Apartment,3,2301,8,3.92,37.46,65.19,null,13.28 kWh,-2.42,16.47,0
IN-KL-ELC-69243360,27-01-2023,IN_KL_ERN,Villa,2,2649,7,3.85,26.56,82.65,10.18 kWh,9.92 kWh,-2.55,16.28,1
IN-KL-ELC-31690538,09-01-2023,IN_KL_TVM,Apartment,4,1785,20,7.86,32.41,67.26,21.24 kWh,20.35 kWh,-4.19,17.26,0
IN-KL-ELC-65870776,25-01-2023,IN_KL_ALP,Independent House,3,2512,17,7.86,23.8,46.89,16.64 kWh,15.88 kWh,-4.57,17.83,0
IN-KL-ELC-89330274,29-01-2023,IN_KL_ERN,Independent House,2,2501,18,6.94,29.47,48.81,null,16.77 kWh,0,16.43,0
IN-KL-ELC-19440794,15-01-2023,IN_KL_ALP,Independent House,2,1172,14,7.09,31.29,54.78,15.92 kWh,23.901026421332162 kWh,50.13,17.83,1
IN-KL-ELC-94750240,06-01-2023,IN_KL_TVM,Villa,6,2564,15,3.42,27.46,83.56,16.94 kWh,21.056005246050464 kWh,24.3,16.02,1
IN-KL-ELC-84464171,18-01-2023,IN_KL_ALP,Independent House,1,1498,19,6.14,30.06,80.92,15.57 kWh,15.12 kWh,-2.89,17.83,0
IN-KL-ELC-61981697,19-01-2023,IN_KL_ERN,Independent House,4,905,14,4.55,30.77,69.17,16.1 kWh,17.77 kWh,10.37,16.43,0
IN-KL-ELC-84637965,15-01-2023,IN_KL_ALP,Villa,5,2284,8,4.4,24.91,65.77,13.67 kWh,20.49105006373263 kWh,49.9,16.26,1
IN-KL-ELC-36971038,20-01-2023,IN_KL_ERN,Independent House,3,1607,20,5.13,31.01,57.04,17.61 kWh,17.25 kWh,-2.04,16.43,0
IN-KL-ELC-31013601,25-01-2023,IN_KL_TVM,Villa,6,1638,16,4.77,28.01,67.16,18.41 kWh,25.726391104047597 kWh,39.74,16.02,1
IN-KL-ELC-41305805,29-01-2023,IN_KL_TVM,Independent House,1,845,18,4.33,27.6,49.05,13.35 kWh,19.935626012963656 kWh,49.33,16.89,1
IN-KL-ELC-76726031,27-01-2023,IN_KL_ERN,Independent House,2,849,9,7.27,32.65,62.27,14.56 kWh,22.71135350891401 kWh,55.98,16.43,1
IN-KL-ELC-68343808,22-01-2023,IN_KL_ERN,Apartment,2,2135,8,5.8,35.31,81.46,13.55 kWh,19.43511221321271 kWh,43.43,16.61,1
IN-KL-ELC-98944256,05-01-2023,IN_KL_ERN,Apartment,2,658,8,2.64,30.44,75.01,10.25 kWh,16.95876510312249 kWh,65.45,16.61,1
IN-KL-ELC-87381788,15-01-2023,IN_KL_TVM,Apartment,1,2433,9,6.06,24.19,60.96,10.95 kWh,15.092663999237617 kWh,37.83,17.26,1
IN-KL-ELC-12266547,02-01-2023,IN_KL_ERN,Apartment,6,840,13,6.13,33.79,45.98,null,20.58 kWh,2.8,16.61,0
IN-KL-ELC-31401160,20-01-2023,IN_KL_ERN,Independent House,2,1915,16,6.81,34.48,75.96,17.19 kWh,27.64357324951879 kWh,60.81,16.43,1
IN-KL-ELC-79964262,22-01-2023,IN_KL_ERN,Independent House,4,1633,19,7.82,29.66,58.52,20.01 kWh,20.11 kWh,0.5,16.43,0
IN-KL-ELC-29058334,23-01-2023,IN_KL_ERN,Independent House,2,816,17,5.71,34.39,72.1,16.66 kWh,16.64 kWh,-0.12,16.43,0
IN-KL-ELC-66694772,12-01-2023,IN_KL_TVM,Independent House,1,1962,14,6.9,29.91,80.71,14.36 kWh,13.71 kWh,-4.53,16.89,0
IN-KL-ELC-57261281,22-01-2023,IN_KL_ALP,Apartment,1,1776,14,3.77,33.29,62.72,12.62 kWh,13.57 kWh,7.53,16.47,0
IN-KL-ELC-93537360,19-01-2023,IN_KL_TVM,Apartment,4,2131,20,4.92,29.63,65.4,18.19 kWh,17.53 kWh,-3.63,17.26,0
IN-KL-ELC-62801448,13-01-2023,IN_KL_ALP,Independent House,5,1750,16,7.82,37.63,51.92,22.47 kWh,22.81 kWh,1.51,17.83,0
IN-KL-ELC-52308792,08-01-2023,IN_KL_ERN,Independent House,5,1614,17,6.43,31.69,73.81,19.97 kWh,17.2 kWh,-13.87,16.43,0
IN-KL-ELC-93121901,09-01-2023,IN_KL_ERN,Villa,6,1367,7,5.36,21.79,67.52,14.27 kWh,14.44 kWh,1.19,16.28,0
IN-KL-ELC-52398780,25-01-2023,IN_KL_TVM,Independent House,6,2298,13,7.37,28.6,71.22,19.46 kWh,30.49053745070504 kWh,56.68,16.89,1
IN-KL-ELC-57403818,19-01-2023,IN_KL_ERN,Independent House,4,2389,10,2.99,31.23,74.25,13.59 kWh,14.64 kWh,7.73,16.43,0
IN-KL-ELC-34519998,28-01-2023,IN_KL_ERN,Independent House,3,2009,9,7.2,29.58,75.13,14.95 kWh,null,0.96,16.43,1
IN-KL-ELC-22212203,18-01-2023,IN_KL_ERN,Villa,5,2190,11,7.23,30.16,77.34,18.01 kWh,null,-3.28,16.28,1
IN-KL-ELC-17499006,13-01-2023,IN_KL_TVM,Apartment,3,2424,16,5.47,31.97,46.13,16.68 kWh,15.03 kWh,-9.89,17.26,0
IN-KL-ELC-41369910,05-01-2023,IN_KL_TVM,Apartment,3,1883,15,3.08,33.14,63.88,14.72 kWh,null,10.94,17.26,1
IN-KL-ELC-16244556,02-01-2023,IN_KL_TVM,Independent House,6,2420,18,5,24.52,67.7,18.22 kWh,23.657379329611434 kWh,29.84,16.89,1
IN-KL-ELC-98421014,19-01-2023,IN_KL_TVM,Independent House,5,2082,8,5.51,27.59,64.89,15.07 kWh,19.19281475114501 kWh,27.36,16.89,1
IN-KL-ELC-68653537,06-01-2023,IN_KL_ALP,Villa,4,589,19,4.61,32.65,51.15,18.41 kWh,33.31928903706219 kWh,80.98,16.26,1
IN-KL-ELC-78261392,07-01-2023,IN_KL_ALP,Apartment,1,1024,7,6.47,29.09,62.17,11.44 kWh,10.8 kWh,-5.59,16.47,1
IN-KL-ELC-13631731,21-01-2023,IN_KL_ALP,Apartment,3,1207,9,3.03,27.29,51.85,11.44 kWh,11.99 kWh,4.81,16.47,0
IN-KL-ELC-61826522,23-01-2023,IN_KL_ALP,Independent House,1,1393,21,6.7,22.73,59.17,14.86 kWh,20.12038557444003 kWh,35.4,17.83,1
IN-KL-ELC-60116792,28-01-2023,IN_KL_TVM,Independent House,2,2570,20,3.68,29.09,57.74,14.95 kWh,16.13 kWh,7.89,16.89,0
IN-KL-ELC-91609437,26-01-2023,IN_KL_TVM,Apartment,6,1529,6,3.62,29.05,59.72,14.41 kWh,16.08 kWh,11.59,17.26,0
IN-KL-ELC-18798620,23-01-2023,IN_KL_ERN,Apartment,2,2704,7,5.32,33.24,54.12,12.42 kWh,null,-7.97,16.61,1
IN-KL-ELC-95979298,02-01-2023,IN_KL_ERN,Villa,3,511,12,2.95,30.33,77.85,12.98 kWh,13.04 kWh,0.46,16.28,0
IN-KL-ELC-61981697,08-01-2023,IN_KL_ERN,Independent House,4,905,14,4.55,33.5,67.71,16.75 kWh,16.4 kWh,-2.09,16.43,0
IN-KL-ELC-14754038,03-01-2023,IN_KL_ALP,Apartment,5,958,21,5.95,32.1,63.51,21.16 kWh,21.05 kWh,-0.52,16.47,0
IN-KL-ELC-36393561,25-01-2023,IN_KL_ERN,Apartment,3,908,6,5.67,33.99,60.86,13.62 kWh,13.46 kWh,-1.17,16.61,0
IN-KL-ELC-82602412,16-01-2023,IN_KL_TVM,Apartment,3,1133,9,5.79,34.42,83.26,14.92 kWh,14.56 kWh,-2.41,17.26,0
IN-KL-ELC-42432840,11-01-2023,IN_KL_ERN,Independent House,6,588,11,2.94,35.45,82.88,null,16.24 kWh,-5.31,16.43,0
IN-KL-ELC-79615917,30-01-2023,IN_KL_ALP,Independent House,6,612,8,6.32,32.54,80.29,18.0 kWh,19.19 kWh,6.61,17.83,0
IN-KL-ELC-19900586,17-01-2023,IN_KL_TVM,Independent House,6,476,12,5.76,29.72,77.66,18.24 kWh,18.21 kWh,-0.16,16.89,0
IN-KL-ELC-87487613,24-01-2023,IN_KL_TVM,Apartment,1,1983,12,4.51,26.55,79.99,11.27 kWh,10.42 kWh,-7.54,17.26,1
IN-KL-ELC-46908360,20-01-2023,IN_KL_TVM,Independent House,2,886,19,5.26,28.26,60.93,15.58 kWh,14.1 kWh,-9.5,16.89,0
IN-KL-ELC-28802060,27-01-2023,IN_KL_TVM,Independent House,1,1168,10,2.59,24.05,74.19,8.87 kWh,10.03 kWh,13.08,16.89,1
IN-KL-ELC-86586193,29-01-2023,IN_KL_ERN,Independent House,1,1121,11,3.94,21.67,79.03,9.72 kWh,null,10.19,16.43,1
